Date,Time,Temperature (dht11),humidity air (dht11),humidity soil1 (capacitive soil moisture),humidity soil2 (direct metal electrode)
Fri Oct 25 2019,0:30:33,28,95,318,437
Fri Oct 25 2019,0:40:41,28,95,326,445
Fri Oct 25 2019,1:01:00,28,95,322,450
Fri Oct 25 2019,1:11:08,28,95,319,452
Fri Oct 25 2019,1:21:14,28,95,313,458
Fri Oct 25 2019,1:31:20,28,95,315,459
Fri Oct 25 2019,1:41:27,28,95,313,464
Fri Oct 25 2019,1:51:33,28,95,308,464
Fri Oct 25 2019,2:01:39,28,95,303,464
Fri Oct 25 2019,2:11:45,28,95,301,461
Fri Oct 25 2019,2:21:51,28,95,715,460
Fri Oct 25 2019,2:31:57,28,95,716,710
Fri Oct 25 2019,2:42:04,28,95,717,711
Fri Oct 25 2019,2:52:05,28,95,718,712
Fri Oct 25 2019,3:44:27,28,95,718,713
Fri Oct 25 2019,3:54:35,28,95,720,714
Fri Oct 25 2019,4:04:39,28,95,718,714
Fri Oct 25 2019,4:14:47,28,95,720,714
Fri Oct 25 2019,4:24:54,28,95,721,715
Fri Oct 25 2019,4:34:59,28,95,723,716
Fri Oct 25 2019,4:45:02,28,95,721,718
Fri Oct 25 2019,4:55:11,28,95,721,718
Fri Oct 25 2019,5:05:18,28,95,721,718
Fri Oct 25 2019,5:15:24,28,95,722,720
Fri Oct 25 2019,5:25:27,28,95,732,720
Fri Oct 25 2019,5:35:33,28,95,723,712
Fri Oct 25 2019,5:45:35,28,95,734,721
Fri Oct 25 2019,5:55:41,28,95,727,715
Fri Oct 25 2019,6:05:46,28,95,733,724
Fri Oct 25 2019,7:48:12,28,95,296,715
Fri Oct 25 2019,8:08:32,28,95,298,457
Fri Oct 25 2019,8:59:30,28,95,301,456
Fri Oct 25 2019,9:09:41,28,95,307,452
Fri Oct 25 2019,9:50:46,28,95,296,452
Fri Oct 25 2019,10:11:04,28,95,302,441
Fri Oct 25 2019,11:22:53,34,91,286,441
Fri Oct 25 2019,11:32:58,34,89,284,409
Fri Oct 25 2019,13:14:47,33,89,262,401
Fri Oct 25 2019,13:35:02,33,90,266,346
Fri Oct 25 2019,13:45:09,33,90,266,343
Fri Oct 25 2019,14:05:21,33,88,262,341
Fri Oct 25 2019,14:15:29,33,88,262,336
Fri Oct 25 2019,14:25:32,32,87,257,334
Fri Oct 25 2019,14:45:49,32,86,256,331
Fri Oct 25 2019,14:55:52,32,87,256,327
Fri Oct 25 2019,15:26:23,32,89,260,326
Fri Oct 25 2019,15:36:32,32,89,246,320
Fri Oct 25 2019,15:46:39,32,88,255,308
Fri Oct 25 2019,15:56:48,32,87,257,316
Fri Oct 25 2019,16:17:03,32,86,244,316
Fri Oct 25 2019,16:47:29,31,88,253,302
Fri Oct 25 2019,17:18:00,31,86,249,306
Fri Oct 25 2019,17:28:04,31,95,306,301
Fri Oct 25 2019,17:38:11,30,95,313,426
Fri Oct 25 2019,17:58:28,30,95,313,451
Fri Oct 25 2019,18:18:46,30,95,316,458
Fri Oct 25 2019,18:28:53,30,95,314,461
Fri Oct 25 2019,18:59:18,30,95,309,458
Fri Oct 25 2019,19:50:12,30,95,309,449
Fri Oct 25 2019,20:00:16,30,95,309,437
Fri Oct 25 2019,20:40:55,30,95,306,436
Fri Oct 25 2019,20:51:08,30,95,308,429
Fri Oct 25 2019,21:01:19,29,95,307,429
Fri Oct 25 2019,21:11:26,29,95,303,428
Fri Oct 25 2019,21:31:43,29,95,303,423
Fri Oct 25 2019,21:41:52,29,95,306,421
Sat Oct 26 2019,12:09:52,32,95,264,416
Sat Oct 26 2019,12:39:59,32,95,234,294
Sat Oct 26 2019,13:10:25,31,95,254,309
Sat Oct 26 2019,14:21:49,31,95,255,332
Sat Oct 26 2019,15:22:54,30,95,240,320
Sat Oct 26 2019,15:33:03,30,95,237,277
Sat Oct 26 2019,15:43:09,30,95,236,274
Sat Oct 26 2019,15:53:15,30,95,234,272
Sat Oct 26 2019,16:03:16,30,95,226,268
Sat Oct 26 2019,16:13:24,30,95,232,259
Sat Oct 26 2019,16:33:43,29,95,282,261
Sat Oct 26 2019,17:24:38,29,95,306,348
Sat Oct 26 2019,17:44:56,29,95,308,397
Sat Oct 26 2019,17:54:59,29,95,309,404
Sat Oct 26 2019,18:05:07,29,95,310,406
Sat Oct 26 2019,18:15:13,29,95,306,409
Sat Oct 26 2019,19:27:19,29,95,309,405
Sat Oct 26 2019,21:50:16,28,95,316,408
Sat Oct 26 2019,22:10:28,28,95,317,411
Sat Oct 26 2019,22:20:34,28,95,310,410
Sat Oct 26 2019,23:01:23,28,95,317,403
Sat Oct 26 2019,23:11:28,28,95,316,408
Sat Oct 26 2019,23:21:31,28,95,310,406
Sat Oct 26 2019,23:31:33,28,95,318,401
Sat Oct 26 2019,23:41:40,28,95,319,406
Sat Oct 26 2019,23:52:16,28,95,309,406
Sun Oct 27 2019,0:02:23,28,95,309,402
Sun Oct 27 2019,0:12:50,28,95,310,400
Sun Oct 27 2019,0:33:16,28,95,308,401
Sun Oct 27 2019,0:43:16,28,95,310,397
Sun Oct 27 2019,0:53:19,28,95,309,398
